,Epoch:,Cost:,Accuracy:
0,0,2.9488625851,135
1,1,2.70209986057,135
2,2,2.55694032371,133
3,3,2.46469707101,134
4,4,2.38474140922,142
5,5,2.20569222212,141
6,6,2.17561844373,140
7,7,2.6481262227,104
8,8,2.20102572499,142
9,9,2.01433602776,138
10,10,2.21326397879,127
11,11,2.143075854,149
12,12,2.2788764756,144
13,13,1.99444647342,137
14,14,2.05338386391,146
15,15,2.01700328975,142
16,16,1.88657985519,144
17,17,1.89731423533,143
18,18,1.85434511729,140
19,19,1.90981025843,141
20,20,1.79154077407,145
21,21,1.80495034424,143
22,22,1.82213333146,145
23,23,1.71809906324,144
24,24,1.7661187856,140
25,25,1.71270287952,143
26,26,1.69680694961,147
27,27,1.77173708869,136
28,28,1.712004265,143
29,29,1.73378240597,144
30,30,1.69580483192,149
31,31,1.66701294438,144
32,32,1.61366435784,149
33,33,1.75864643321,147
34,34,1.60261553386,151
35,35,1.61367281487,145
36,36,1.57955356997,147
37,37,1.56566164137,154
38,38,1.62221388198,145
39,39,1.55031112376,146
40,40,1.69727829546,138
41,41,1.56484556363,149
42,42,1.80467334962,145
43,43,1.65372648717,137
44,44,1.55695470312,144
45,45,1.62657966957,145
46,46,1.72752226787,144
47,47,1.56422275986,152
48,48,1.52007722411,148
49,49,1.49776228491,149
