,Epoch:,Cost:,Accuracy:
0,0,3.12840595743,135
1,1,2.93381112824,134
2,2,2.72763025403,131
3,3,2.63201374528,131
4,4,2.55751282796,133
5,5,2.48679715822,134
6,6,2.45108443273,136
7,7,2.38225907937,138
8,8,2.31543094502,135
9,9,2.31615278683,142
10,10,2.25520849178,142
11,11,2.22425515617,140
12,12,2.30608461835,139
13,13,2.31292335658,142
14,14,2.19229758433,136
15,15,2.10433690543,141
16,16,2.08810078844,142
17,17,2.07104910096,143
18,18,2.03764935843,142
19,19,2.06279564599,141
20,20,2.03714057891,140
21,21,2.07601416361,142
22,22,2.03537127673,140
23,23,1.99296074755,145
24,24,2.02186509957,140
25,25,1.95499332919,138
26,26,2.01676462013,143
27,27,2.00420170775,134
28,28,1.92607928126,144
29,29,1.93030205179,140
30,30,1.91167273694,143
31,31,2.00081201606,140
32,32,1.88525737135,141
33,33,1.8554919442,141
34,34,1.88469528384,143
35,35,1.84606028326,144
36,36,1.91168192517,143
37,37,1.92078777578,142
38,38,1.85389858185,145
39,39,1.86183606146,144
40,40,1.820080502,146
41,41,1.82895033492,148
42,42,1.80743561298,142
43,43,1.79715134765,142
44,44,1.80032276169,144
45,45,1.82503896683,144
46,46,1.76136847418,146
47,47,1.79202704549,149
48,48,1.84739516191,144
49,49,1.76193914725,145
