,Epoch:,Cost:,Accuracy:
0,0,3.20276168302,135
1,1,2.74189510169,133
2,2,2.74277308545,117
3,3,2.62462349919,135
4,4,2.35790548567,137
5,5,2.57736261047,136
6,6,2.36899769798,136
7,7,2.24553473653,136
8,8,2.34474483434,116
9,9,2.13166241173,142
10,10,2.13994673049,139
11,11,2.08536489774,144
12,12,2.40282567593,125
13,13,1.96724178362,143
14,14,1.96393751877,145
15,15,1.96948662327,140
16,16,2.0133541369,140
17,17,1.96647861906,144
18,18,1.91683136509,139
19,19,1.88103392773,147
20,20,1.83044702981,146
21,21,1.88252063893,140
22,22,1.84664098103,144
23,23,1.80667858587,143
24,24,1.84055568205,141
25,25,1.81794922496,153
26,26,2.00110550784,141
27,27,1.84071600554,145
28,28,1.81802462241,149
29,29,1.95341748945,143
30,30,1.7446672876,148
31,31,1.90528739013,141
32,32,2.02280784142,139
33,33,1.78112958536,143
34,34,1.83230122323,146
35,35,1.72441154939,152
36,36,1.68656893034,150
37,37,1.72006159126,151
38,38,1.86578640735,143
39,39,1.70408258404,150
40,40,1.75077561939,147
41,41,1.66457346972,147
42,42,1.66850687063,152
43,43,1.74461915061,150
44,44,1.64105756139,153
45,45,1.70531129239,146
46,46,1.72072454566,147
47,47,1.6812695134,148
48,48,1.95690516616,145
49,49,1.70226354213,152
