,Epoch:,Cost:,Accuracy:
0,0,3.03739820719,100
1,1,2.77819075793,136
2,2,2.60969681586,134
3,3,2.58898514599,130
4,4,2.49932441246,134
5,5,2.31270384573,139
6,6,2.20009201553,139
7,7,2.2602593594,131
8,8,2.20209245311,142
9,9,2.08845256178,144
10,10,2.11061592173,145
11,11,2.26197291464,139
12,12,2.23762180308,129
13,13,2.05039641395,144
14,14,1.97556570771,144
15,15,2.06124989974,138
16,16,1.9385654802,150
17,17,1.87131056353,143
18,18,1.91210939436,145
19,19,1.9199479764,145
20,20,1.84063133523,147
21,21,1.88104782624,145
22,22,1.80002574919,147
23,23,1.7955271124,146
24,24,1.90199870977,147
25,25,1.76514809586,151
26,26,1.87262200005,142
27,27,1.88204311708,146
28,28,1.79127633003,146
29,29,1.72660990704,145
30,30,1.78848179198,147
31,31,1.83561096557,143
32,32,1.76430923152,148
33,33,1.73949667363,150
34,34,1.69495157843,152
35,35,1.80444250334,148
36,36,1.78001195176,147
37,37,1.72430513269,148
38,38,1.69102829444,152
39,39,1.77135119695,145
40,40,1.7447100744,144
41,41,1.76486346841,144
42,42,1.69286534944,147
43,43,1.68437820386,153
44,44,1.72322888435,145
45,45,1.66196790759,148
46,46,1.72030141811,145
47,47,1.69685615302,147
48,48,1.70213606044,140
49,49,1.72140037576,148
