,Epoch:,Cost:,Accuracy:
0,0,2.73173085485,135
1,1,2.74036930419,133
2,2,2.57320576915,119
3,3,2.34891995079,138
4,4,2.40478351776,140
5,5,2.33994077416,141
6,6,2.47303744421,136
7,7,2.4479557859,125
8,8,2.36793824106,138
9,9,2.24428556935,133
10,10,1.93464476352,147
11,11,2.09096569343,138
12,12,2.22553815948,128
13,13,1.91498954445,139
14,14,2.28663028402,141
15,15,2.0107546253,138
16,16,1.96203276262,139
17,17,1.87461893959,145
18,18,1.96497767662,138
19,19,2.03395340585,143
20,20,2.00963794661,140
21,21,2.10776092257,128
22,22,1.86433225143,138
23,23,1.75568895569,140
24,24,2.15479462303,132
25,25,2.01540734081,138
26,26,2.17192322398,139
27,27,1.90203876409,141
28,28,1.76483606489,142
29,29,1.92948979037,146
30,30,1.72503099075,142
31,31,1.80353895545,138
32,32,1.6755598116,144
33,33,1.63841016906,144
34,34,1.81831633227,142
35,35,2.42261424174,145
36,36,1.80877126272,146
37,37,1.79294050019,143
38,38,1.69746100013,146
39,39,1.73408922497,146
40,40,1.60795518196,152
41,41,1.73867050486,140
42,42,1.56583419591,153
43,43,1.67551559322,145
44,44,1.87214777631,127
45,45,1.49380390648,148
46,46,1.7036118165,142
47,47,1.66522466152,145
48,48,1.59425893758,142
49,49,1.78971325304,142
