,Epoch:,Cost:,Accuracy:
0,0,0.474218142549,125
1,1,0.450280777538,136
2,2,0.43473650108,138
3,3,0.423585313175,139
4,4,0.412647948164,139
5,5,0.405397408207,140
6,6,0.399041036717,140
7,7,0.394172786177,142
8,8,0.390859611231,141
9,9,0.387522678186,142
10,10,0.384503239741,141
11,11,0.38181425486,140
12,12,0.379976241901,141
13,13,0.378939524838,141
14,14,0.376362850972,142
15,15,0.374704103672,142
16,16,0.373429805616,142
17,17,0.371924406048,142
18,18,0.371598272138,144
19,19,0.370444924406,143
20,20,0.367475161987,143
21,21,0.3666825054,144
22,22,0.367347732181,143
23,23,0.365727861771,143
24,24,0.364155507559,144
25,25,0.362976241901,144
26,26,0.362589632829,144
27,27,0.36160475162,145
28,28,0.361237580994,145
29,29,0.359870410367,145
30,30,0.358779697624,145
31,31,0.359920086393,146
32,32,0.357470842333,144
33,33,0.35711663067,144
34,34,0.355552915767,143
35,35,0.353978401728,144
36,36,0.353777537797,144
37,37,0.352177105832,143
38,38,0.352399568035,143
39,39,0.351712742981,143
40,40,0.350995680346,144
41,41,0.349721382289,143
42,42,0.348669546436,143
43,43,0.349419006479,144
44,44,0.348976241901,144
45,45,0.348792656587,144
46,46,0.347023758099,144
47,47,0.34609287257,145
48,48,0.346213822894,143
49,49,0.344639308855,144
