,Epoch:,Cost:,Accuracy:
0,0,1.89777969762,0
1,1,1.69383585313,0
2,2,1.51510151188,0
3,3,1.3442462203,0
4,4,1.18378401728,0
5,5,1.04642764579,3
6,6,0.93203887689,8
7,7,0.817172786177,22
8,8,0.706164146868,59
9,9,0.624807775378,72
10,10,0.575993520518,89
11,11,0.546049676026,102
12,12,0.52681425486,110
13,13,0.513306695464,117
14,14,0.504412526998,123
15,15,0.497358531317,125
16,16,0.492501079914,128
17,17,0.488349892009,131
18,18,0.484993520518,132
19,19,0.482669546436,133
20,20,0.480634989201,133
