,Epoch:,Cost:,Accuracy:
0,0,0.732978401728,49
1,1,0.540555075594,94
2,2,0.501913606911,107
3,3,0.484438444924,115
4,4,0.473784017279,117
5,5,0.467885529158,117
6,6,0.462600431965,119
7,7,0.459183585313,120
8,8,0.456269978402,120
9,9,0.452930885529,123
10,10,0.450542116631,123
11,11,0.448827213823,123
12,12,0.447030237581,124
13,13,0.445069114471,124
14,14,0.444334773218,123
15,15,0.442628509719,124
16,16,0.441505399568,124
17,17,0.440164146868,124
18,18,0.439667386609,123
19,19,0.438580993521,123
20,20,0.437431965443,124
